,Country Name,Country Code,Last Update,Indicator Name,Indicator Code,Year,Annual GDP Growth
0,Aruba,ABW,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
1,Africa Eastern and Southern,AFE,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,0.25487926002961103
2,Afghanistan,AFG,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
3,Africa Western and Central,AFW,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,1.8548716844760236
4,Angola,AGO,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
5,Albania,ALB,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
6,Andorra,AND,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
7,Arab World,ARB,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
8,United Arab Emirates,ARE,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
9,Argentina,ARG,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,5.42784287621933
10,Armenia,ARM,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
11,American Samoa,ASM,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
12,Antigua and Barbuda,ATG,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
13,Australia,AUS,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,2.482656077431983
14,Austria,AUT,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,5.537979316845281
15,Azerbaijan,AZE,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,
16,Burundi,BDI,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-13.746135053983892
17,Belgium,BEL,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.978423063191968
18,Benin,BEN,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,3.141280456412133
19,Burkina Faso,BFA,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,4.043927977549245
20,Bangladesh,BGD,2023-06-29,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,6.058160825481281
